Answer,Label
I am naturally drawn to computers. I also think I have a knack for it.,CSE
I really enjoy working with machine learning and AI.,CSE
I want to build a career where I can utilize my skills in manufacturing and cars.,MECHANICAL
I find urban planning incredibly interesting and I'm good at understanding buildings. I also think I have a knack for it.,CIVIL
"I think compounds is the future, and I love molecules. I also think I have a knack for it.",CHEMISTRY
"I am very passionate about thermodynamics, especially when it comes to gears.",MECHANICAL
My favorite projects always involve CAD and I am fascinated by engines.,MECHANICAL
My favorite projects always involve buildings and I am fascinated by bridges.,CIVIL
My favorite projects always involve experiments and I am fascinated by periodic table. I also think I have a knack for it.,CHEMISTRY
"I think thermodynamics is the future, and I love CAD.",MECHANICAL
"If I had to choose, I would spend my time learning about anatomy and medicine. I also think I have a knack for it.",BIOLOGY
"I think power is the future, and I love transformers.",ELECTRICAL
I have always been curious about vehicles. I also think I have a knack for it.,MECHANICAL
I find molecules incredibly interesting and I'm good at understanding laboratory. I also think I have a knack for it.,CHEMISTRY
I really enjoy working with vehicles and manufacturing. I also think I have a knack for it.,MECHANICAL
I find infrastructure incredibly interesting and I'm good at understanding materials.,CIVIL
"I am very passionate about transformers, especially when it comes to wiring. I also think I have a knack for it.",ELECTRICAL
"I think presentations is the future, and I love entrepreneurship.",MANAGEMENT
My favorite projects always involve designing structures and I am fascinated by urban planning. I also think I have a knack for it.,CIVIL
"If I had to choose, I would spend my time learning about experiments and drugs.",CHEMISTRY
I really enjoy working with finance and business. I also think I have a knack for it.,MANAGEMENT
"If I had to choose, I would spend my time learning about chemicals and drugs.",CHEMISTRY
"Whenever I get a chance, I try to read about app development. I also think I have a knack for it.",CSE
I find genetics incredibly interesting and I'm good at understanding anatomy. I also think I have a knack for it.,BIOLOGY
I have always been curious about medicine. I also think I have a knack for it.,BIOLOGY
My favorite projects always involve finance and I am fascinated by entrepreneurship. It's just something that comes naturally to me.,MANAGEMENT
"I think relativity is the future, and I love energy. I also think I have a knack for it.",PHYSICS
I really enjoy working with cells and living organisms. I also think I have a knack for it.,BIOLOGY
I want to build a career where I can utilize my skills in vehicles and machines. I also think I have a knack for it.,MECHANICAL
I want to build a career where I can utilize my skills in engines and cars.,MECHANICAL
My favorite projects always involve infrastructure and I am fascinated by designing structures.,CIVIL
I really enjoy working with plants and genetics.,BIOLOGY
I find coding incredibly interesting and I'm good at understanding software.,CSE
"Whenever I get a chance, I try to read about infrastructure.",CIVIL
I have always been curious about startups. I also think I have a knack for it.,MANAGEMENT
"I am very passionate about management, especially when it comes to teamwork. I also think I have a knack for it.",MANAGEMENT
"I think wiring is the future, and I love renewable energy.",ELECTRICAL
"Whenever I get a chance, I try to read about synthesis. I also think I have a knack for it.",CHEMISTRY
I am naturally drawn to microcontrollers.,ELECTRICAL
I am naturally drawn to coding. I also think I have a knack for it.,CSE
"Whenever I get a chance, I try to read about genetics.",BIOLOGY
"If I had to choose, I would spend my time learning about CAD and engines. I also think I have a knack for it.",MECHANICAL
"I think leadership is the future, and I love entrepreneurship. I also think I have a knack for it.",MANAGEMENT
I find materials incredibly interesting and I'm good at understanding infrastructure.,CIVIL
I have always been curious about reactions.,CHEMISTRY
My favorite projects always involve programming and I am fascinated by app development.,CSE
I find universe incredibly interesting and I'm good at understanding forces.,PHYSICS
"I think gears is the future, and I love manufacturing.",MECHANICAL
My favorite projects always involve motion and I am fascinated by mechanics.,PHYSICS
My favorite projects always involve coding and I am fascinated by machine learning. It's just something that comes naturally to me.,CSE
I really enjoy working with ecosystems and living organisms.,BIOLOGY
"If I had to choose, I would spend my time learning about relativity and gravity.",PHYSICS
My favorite projects always involve materials and I am fascinated by construction.,CIVIL
"I think compounds is the future, and I love laboratory. I also think I have a knack for it.",CHEMISTRY
"Whenever I get a chance, I try to read about infrastructure.",CIVIL
I find strategy incredibly interesting and I'm good at understanding management.,MANAGEMENT
My favorite projects always involve energy and I am fascinated by renewable energy. I also think I have a knack for it.,ELECTRICAL
I find renewable energy incredibly interesting and I'm good at understanding wiring.,ELECTRICAL
I find genetics incredibly interesting and I'm good at understanding plants. It's just something that comes naturally to me.,BIOLOGY
"I think animals is the future, and I love ecosystems. I also think I have a knack for it.",BIOLOGY
"Whenever I get a chance, I try to read about coding.",CSE
I am naturally drawn to vehicles. I also think I have a knack for it.,MECHANICAL
I have always been curious about presentations.,MANAGEMENT
I find forces incredibly interesting and I'm good at understanding quantum.,PHYSICS
"Whenever I get a chance, I try to read about vehicles. I also think I have a knack for it.",MECHANICAL
I find hackathons incredibly interesting and I'm good at understanding algorithms.,CSE
"Whenever I get a chance, I try to read about CAD.",MECHANICAL
I really enjoy working with startups and teamwork.,MANAGEMENT
My favorite projects always involve construction and I am fascinated by buildings.,CIVIL
I have always been curious about voltage.,ELECTRICAL
I am naturally drawn to synthesis.,CHEMISTRY
"I am very passionate about transformers, especially when it comes to circuits.",ELECTRICAL
"I am very passionate about chemicals, especially when it comes to compounds.",CHEMISTRY
"If I had to choose, I would spend my time learning about energy and forces. I also think I have a knack for it.",PHYSICS
"I am very passionate about laboratory, especially when it comes to experiments.",CHEMISTRY
"If I had to choose, I would spend my time learning about mechanics and quantum. I also think I have a knack for it.",PHYSICS
I find hackathons incredibly interesting and I'm good at understanding programming. I also think I have a knack for it.,CSE
I find robotics incredibly interesting and I'm good at understanding gears.,MECHANICAL
"I am very passionate about marketing, especially when it comes to teamwork.",MANAGEMENT
"I am very passionate about space, especially when it comes to astronomy.",PHYSICS
I am naturally drawn to gears.,MECHANICAL
My favorite projects always involve reactions and I am fascinated by compounds.,CHEMISTRY
I have always been curious about chemicals. I also think I have a knack for it.,CHEMISTRY
"If I had to choose, I would spend my time learning about thermodynamics and vehicles. I also think I have a knack for it.",MECHANICAL
"I think animals is the future, and I love ecosystems. I also think I have a knack for it.",BIOLOGY
I am naturally drawn to management.,MANAGEMENT
I want to build a career where I can utilize my skills in anatomy and ecosystems.,BIOLOGY
"If I had to choose, I would spend my time learning about buildings and architecture.",CIVIL
I have always been curious about mechanics. I also think I have a knack for it.,PHYSICS
I am naturally drawn to circuits. I also think I have a knack for it.,ELECTRICAL
"I think startups is the future, and I love entrepreneurship.",MANAGEMENT
I am naturally drawn to coding.,CSE
"I think hackathons is the future, and I love AI. I also think I have a knack for it.",CSE
"Whenever I get a chance, I try to read about construction.",CIVIL
I find marketing incredibly interesting and I'm good at understanding leadership.,MANAGEMENT
I really enjoy working with electronics and circuits.,ELECTRICAL
I have always been curious about laboratory. I also think I have a knack for it.,CHEMISTRY
I have always been curious about cars.,MECHANICAL
"Whenever I get a chance, I try to read about debugging. I also think I have a knack for it.",CSE
I am naturally drawn to software.,CSE
I want to build a career where I can utilize my skills in architecture and bridges.,CIVIL
My favorite projects always involve medicine and I am fascinated by anatomy. I also think I have a knack for it.,BIOLOGY
I really enjoy working with transformers and microcontrollers. It's just something that comes naturally to me.,ELECTRICAL
I have always been curious about machine learning.,CSE
My favorite projects always involve buildings and I am fascinated by urban planning. I also think I have a knack for it.,CIVIL
I have always been curious about energy.,ELECTRICAL
"I think energy is the future, and I love motion. I also think I have a knack for it.",PHYSICS
I really enjoy working with app development and coding. I also think I have a knack for it.,CSE
I am naturally drawn to chemicals. It's just something that comes naturally to me.,CHEMISTRY
"I am very passionate about ecosystems, especially when it comes to anatomy.",BIOLOGY
I have always been curious about quantum. I also think I have a knack for it.,PHYSICS
"Whenever I get a chance, I try to read about transformers. I also think I have a knack for it.",ELECTRICAL
I have always been curious about leadership.,MANAGEMENT
"I think molecules is the future, and I love experiments. It's just something that comes naturally to me.",CHEMISTRY
"Whenever I get a chance, I try to read about genetics.",BIOLOGY
"I am very passionate about circuits, especially when it comes to transformers.",ELECTRICAL
"Whenever I get a chance, I try to read about cars.",MECHANICAL
I find astronomy incredibly interesting and I'm good at understanding mechanics. I also think I have a knack for it.,PHYSICS
"I think infrastructure is the future, and I love architecture. I also think I have a knack for it.",CIVIL
I have always been curious about gravity.,PHYSICS
I want to build a career where I can utilize my skills in business and leadership. I also think I have a knack for it.,MANAGEMENT
"I think plants is the future, and I love anatomy. I also think I have a knack for it.",BIOLOGY
"I am very passionate about designing structures, especially when it comes to architecture.",CIVIL
"I think app development is the future, and I love coding. I also think I have a knack for it.",CSE
"I think wiring is the future, and I love circuits.",ELECTRICAL
I have always been curious about vehicles.,MECHANICAL
"I am very passionate about machine learning, especially when it comes to hackathons. I also think I have a knack for it.",CSE
I want to build a career where I can utilize my skills in animals and living organisms.,BIOLOGY
I find app development incredibly interesting and I'm good at understanding software.,CSE
"If I had to choose, I would spend my time learning about strategy and marketing.",MANAGEMENT
"Whenever I get a chance, I try to read about universe. I also think I have a knack for it.",PHYSICS
I really enjoy working with marketing and presentations. I also think I have a knack for it.,MANAGEMENT
"I think power is the future, and I love electronics. I also think I have a knack for it.",ELECTRICAL
"I am very passionate about drugs, especially when it comes to periodic table. I also think I have a knack for it.",CHEMISTRY
I find space incredibly interesting and I'm good at understanding energy. I also think I have a knack for it.,PHYSICS
"Whenever I get a chance, I try to read about energy.",ELECTRICAL
I really enjoy working with architecture and infrastructure.,CIVIL
"I am very passionate about CAD, especially when it comes to thermodynamics. I also think I have a knack for it.",MECHANICAL
I am naturally drawn to forces. It's just something that comes naturally to me.,PHYSICS
My favorite projects always involve plants and I am fascinated by ecosystems. I also think I have a knack for it.,BIOLOGY
"If I had to choose, I would spend my time learning about circuits and renewable energy. I also think I have a knack for it.",ELECTRICAL
"If I had to choose, I would spend my time learning about drugs and experiments.",CHEMISTRY
"I think coding is the future, and I love programming. I also think I have a knack for it.",CSE
"I think presentations is the future, and I love business.",MANAGEMENT
I really enjoy working with business and management.,MANAGEMENT
My favorite projects always involve marketing and I am fascinated by presentations.,MANAGEMENT
"I am very passionate about universe, especially when it comes to relativity. I also think I have a knack for it.",PHYSICS
I really enjoy working with power and wiring.,ELECTRICAL
I am naturally drawn to blueprints.,CIVIL
I am naturally drawn to business.,MANAGEMENT
"Whenever I get a chance, I try to read about machines.",MECHANICAL
"I am very passionate about forces, especially when it comes to universe. I also think I have a knack for it.",PHYSICS
I want to build a career where I can utilize my skills in algorithms and app development. I also think I have a knack for it.,CSE
I have always been curious about universe.,PHYSICS
I am naturally drawn to engines. I also think I have a knack for it.,MECHANICAL
"If I had to choose, I would spend my time learning about transformers and power. I also think I have a knack for it.",ELECTRICAL
"I think astronomy is the future, and I love motion.",PHYSICS
I have always been curious about business. I also think I have a knack for it.,MANAGEMENT
I am naturally drawn to bridges. I also think I have a knack for it.,CIVIL
"If I had to choose, I would spend my time learning about architecture and infrastructure.",CIVIL
I want to build a career where I can utilize my skills in space and mechanics.,PHYSICS
"I think plants is the future, and I love anatomy.",BIOLOGY
"I am very passionate about computers, especially when it comes to programming. I also think I have a knack for it.",CSE
I really enjoy working with renewable energy and energy.,ELECTRICAL
"If I had to choose, I would spend my time learning about universe and gravity. I also think I have a knack for it.",PHYSICS
I find presentations incredibly interesting and I'm good at understanding leadership. I also think I have a knack for it.,MANAGEMENT
My favorite projects always involve circuits and I am fascinated by transformers. It's just something that comes naturally to me.,ELECTRICAL
I really enjoy working with universe and relativity.,PHYSICS
I want to build a career where I can utilize my skills in computers and coding. It's just something that comes naturally to me.,CSE
"If I had to choose, I would spend my time learning about cells and living organisms.",BIOLOGY
I find drugs incredibly interesting and I'm good at understanding chemicals. It's just something that comes naturally to me.,CHEMISTRY
I really enjoy working with animals and ecosystems.,BIOLOGY
"Whenever I get a chance, I try to read about wiring.",ELECTRICAL
I am naturally drawn to voltage. I also think I have a knack for it.,ELECTRICAL
My favorite projects always involve buildings and I am fascinated by designing structures. I also think I have a knack for it.,CIVIL
I find architecture incredibly interesting and I'm good at understanding materials.,CIVIL
"I think startups is the future, and I love management.",MANAGEMENT
"I am very passionate about thermodynamics, especially when it comes to engines.",MECHANICAL
"I think presentations is the future, and I love startups.",MANAGEMENT
I find architecture incredibly interesting and I'm good at understanding blueprints. I also think I have a knack for it.,CIVIL
I find reactions incredibly interesting and I'm good at understanding drugs. I also think I have a knack for it.,CHEMISTRY
"I think buildings is the future, and I love blueprints. I also think I have a knack for it.",CIVIL
"I think drugs is the future, and I love synthesis.",CHEMISTRY
I really enjoy working with strategy and business.,MANAGEMENT
"I think debugging is the future, and I love hackathons. I also think I have a knack for it.",CSE
I want to build a career where I can utilize my skills in quantum and gravity. I also think I have a knack for it.,PHYSICS
I have always been curious about animals. I also think I have a knack for it.,BIOLOGY
"If I had to choose, I would spend my time learning about molecules and reactions.",CHEMISTRY
"I think programming is the future, and I love app development. I also think I have a knack for it.",CSE
I have always been curious about infrastructure.,CIVIL
"If I had to choose, I would spend my time learning about universe and quantum. I also think I have a knack for it.",PHYSICS
I have always been curious about electronics. It's just something that comes naturally to me.,ELECTRICAL
I have always been curious about health. I also think I have a knack for it.,BIOLOGY
My favorite projects always involve thermodynamics and I am fascinated by manufacturing.,MECHANICAL
I have always been curious about vehicles. I also think I have a knack for it.,MECHANICAL
"I think coding is the future, and I love app development. I also think I have a knack for it.",CSE
I have always been curious about molecules. I also think I have a knack for it.,CHEMISTRY
I find molecules incredibly interesting and I'm good at understanding drugs. I also think I have a knack for it.,CHEMISTRY
My favorite projects always involve health and I am fascinated by animals. I also think I have a knack for it.,BIOLOGY
I have always been curious about transformers. I also think I have a knack for it.,ELECTRICAL
I am naturally drawn to leadership. I also think I have a knack for it.,MANAGEMENT
I really enjoy working with app development and algorithms. It's just something that comes naturally to me.,CSE
I want to build a career where I can utilize my skills in mechanics and space. I also think I have a knack for it.,PHYSICS
I find teamwork incredibly interesting and I'm good at understanding marketing. I also think I have a knack for it.,MANAGEMENT
I am naturally drawn to architecture. I also think I have a knack for it.,CIVIL
"If I had to choose, I would spend my time learning about circuits and wiring.",ELECTRICAL
I really enjoy working with living organisms and anatomy.,BIOLOGY
I really enjoy working with teamwork and leadership. I also think I have a knack for it.,MANAGEMENT
I find urban planning incredibly interesting and I'm good at understanding buildings. I also think I have a knack for it.,CIVIL
I really enjoy working with manufacturing and gears. It's just something that comes naturally to me.,MECHANICAL
I want to build a career where I can utilize my skills in app development and programming.,CSE
I really enjoy working with finance and presentations.,MANAGEMENT
I find motion incredibly interesting and I'm good at understanding relativity. I also think I have a knack for it.,PHYSICS
I want to build a career where I can utilize my skills in teamwork and business.,MANAGEMENT
I am naturally drawn to infrastructure. I also think I have a knack for it.,CIVIL
I am naturally drawn to periodic table.,CHEMISTRY
I want to build a career where I can utilize my skills in synthesis and compounds. I also think I have a knack for it.,CHEMISTRY
"I am very passionate about synthesis, especially when it comes to molecules.",CHEMISTRY
"If I had to choose, I would spend my time learning about cells and living organisms. It's just something that comes naturally to me.",BIOLOGY
"I am very passionate about gravity, especially when it comes to relativity. I also think I have a knack for it.",PHYSICS
"I think electronics is the future, and I love energy. I also think I have a knack for it.",ELECTRICAL
"I am very passionate about microcontrollers, especially when it comes to circuits.",ELECTRICAL
I have always been curious about machines. I also think I have a knack for it.,MECHANICAL
I have always been curious about entrepreneurship. I also think I have a knack for it.,MANAGEMENT
"If I had to choose, I would spend my time learning about medicine and ecosystems. I also think I have a knack for it.",BIOLOGY
"If I had to choose, I would spend my time learning about power and microcontrollers.",ELECTRICAL
I find finance incredibly interesting and I'm good at understanding management. I also think I have a knack for it.,MANAGEMENT
"I think chemicals is the future, and I love compounds. I also think I have a knack for it.",CHEMISTRY
I have always been curious about engines. It's just something that comes naturally to me.,MECHANICAL
"If I had to choose, I would spend my time learning about infrastructure and designing structures. It's just something that comes naturally to me.",CIVIL
My favorite projects always involve hackathons and I am fascinated by machine learning.,CSE
I find vehicles incredibly interesting and I'm good at understanding thermodynamics. I also think I have a knack for it.,MECHANICAL
I am naturally drawn to quantum.,PHYSICS
I have always been curious about circuits.,ELECTRICAL
I have always been curious about ecosystems.,BIOLOGY
I have always been curious about business. I also think I have a knack for it.,MANAGEMENT
I really enjoy working with reactions and compounds. I also think I have a knack for it.,CHEMISTRY
I want to build a career where I can utilize my skills in anatomy and plants.,BIOLOGY
"If I had to choose, I would spend my time learning about gravity and quantum.",PHYSICS
My favorite projects always involve relativity and I am fascinated by astronomy. I also think I have a knack for it.,PHYSICS
"I think infrastructure is the future, and I love materials. I also think I have a knack for it.",CIVIL
"I am very passionate about gears, especially when it comes to thermodynamics. I also think I have a knack for it.",MECHANICAL
I want to build a career where I can utilize my skills in voltage and transformers.,ELECTRICAL
"I am very passionate about space, especially when it comes to motion.",PHYSICS
I really enjoy working with debugging and software. I also think I have a knack for it.,CSE
I have always been curious about robotics. I also think I have a knack for it.,MECHANICAL
"If I had to choose, I would spend my time learning about health and plants. I also think I have a knack for it.",BIOLOGY
My favorite projects always involve animals and I am fascinated by health. I also think I have a knack for it.,BIOLOGY
"I think anatomy is the future, and I love animals. I also think I have a knack for it.",BIOLOGY
I am naturally drawn to astronomy.,PHYSICS
"I think gears is the future, and I love vehicles.",MECHANICAL
I really enjoy working with energy and circuits. I also think I have a knack for it.,ELECTRICAL
I find experiments incredibly interesting and I'm good at understanding reactions. I also think I have a knack for it.,CHEMISTRY
"Whenever I get a chance, I try to read about circuits. It's just something that comes naturally to me.",ELECTRICAL
"Whenever I get a chance, I try to read about presentations. I also think I have a knack for it.",MANAGEMENT
My favorite projects always involve leadership and I am fascinated by entrepreneurship. I also think I have a knack for it.,MANAGEMENT
My favorite projects always involve chemicals and I am fascinated by experiments.,CHEMISTRY
